,Rent,Neighborhood,Title,Posting Date,Url,Bed/Bath
61,3100,Boston,Beautiful Two bedroom One bathroom loft style apartment,Fri 11 Oct 03:59:21 PM,https://boston.craigslist.org/gbs/apa/d/boston-beautiful-two-bedroom-one/6991819065.html,2BR / 1Ba
62,2905,Everett,2 Bedroom 2 Bathroom luxury apartment,Fri 11 Oct 03:59:20 PM,https://boston.craigslist.org/gbs/apa/d/everett-2-bedroom-2-bathroom-luxury/6982159776.html,2BR / 2Ba
63,1700,Boston,1 Bedroom 1 Bathroom Luxury Apartment Available For Rent!,Fri 11 Oct 03:59:19 PM,https://boston.craigslist.org/gbs/apa/d/boston-1-bedroom-1-bathroom-luxury/6982242096.html,1BR / 1Ba
64,3580,Boston,One Bedroom One Bathroom Luxury Apartment,Fri 11 Oct 03:59:18 PM,https://boston.craigslist.org/gbs/apa/d/boston-one-bedroom-one-bathroom-luxury/6989797244.html,1BR / 1Ba
65,1250,Marlborough,Spacious 1br Apt with heat and hot water included,Fri 11 Oct 03:59:17 PM,https://boston.craigslist.org/bmw/apa/d/marlborough-spacious-1br-apt-with-heat/6992526927.html,1BR / 1Ba
66,3700,Boston,2 Bedroom 2 Bathroom Luxury Apartment Available,Fri 11 Oct 03:59:10 PM,https://boston.craigslist.org/gbs/apa/d/boston-2-bedroom-2-bathroom-luxury/6982252594.html,2BR / 2Ba
67,3250,Boston,Luxury Studio Apartment Available for rent,Fri 11 Oct 03:59:10 PM,https://boston.craigslist.org/gbs/apa/d/boston-luxury-studio-apartment/6986895410.html,1BR / 1Ba
68,2180,Everett,1 Bedroom 1 Bathroom Luxury Apartment,Fri 11 Oct 03:59:01 PM,https://boston.craigslist.org/gbs/apa/d/everett-1-bedroom-1-bathroom-luxury/6982153525.html,1BR / 1Ba
69,4365,Boston,One Bedroom One Bathroom Luxury Apartment for rent,Fri 11 Oct 03:59:01 PM,https://boston.craigslist.org/gbs/apa/d/boston-one-bedroom-one-bathroom-luxury/6985633607.html,1BR / 1Ba
70,2260,Revere,One Bedroom Luxury Apartment available for rent,Fri 11 Oct 03:59:00 PM,https://boston.craigslist.org/gbs/apa/d/revere-one-bedroom-luxury-apartment/6989618156.html,1BR / 1Ba
